Gene,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8
SNX32,0,0,0,0,0,0,0,0
SNX33,62,212,1443,632,796,1254,1403,610
SNX4,0,0,0,2,0,1,0,0
SNX5,0,0,0,3,0,0,0,0
SNX6,3365,7468,21884,12168,13548,18154,13857,7871
SNX7,0,0,1,1,0,0,2,1
SNX8,2,0,0,4,6,7,3,8
SNX9,0,0,0,12,0,1,1,0
SOAT1,0,0,0,2,0,0,0,0
SOAT2,1,1,30,6,6,21,25,5
SOBP,0,0,0,0,0,0,0,0
SOCS1,0,0,0,0,0,0,0,0
SOCS2,46,149,3485,1451,1723,1028,2269,499
SOCS2-AS1,0,3,31,9,8,10,20,1
SOCS3,84,153,1121,740,685,622,787,269
SOCS4,0,1,0,0,0,0,0,0
SOCS5,0,0,0,8,0,1,0,0
SOCS6,0,0,0,0,0,0,0,0
SOCS7,770,4083,5295,2602,2963,5806,3529,3068
SOD1,0,0,0,9,0,0,0,0
SOD2,17,10,87,95,26,12,30,5
SOD3,2,2,50,25,17,19,33,7
SOGA1,403,567,3293,2228,1772,2038,1904,937
SOGA2,1,0,5,0,3,3,3,0
SOGA3,11067,27065,178306,119305,112295,58348,107842,21281
SOHLH1,0,0,0,0,0,0,0,0
SOHLH2,0,0,0,0,0,0,0,0
SOLH,0,0,0,0,0,0,0,0
SON,0,0,0,0,0,0,0,0
SORBS1,116,271,2571,1252,1410,1404,1665,521
SORBS2,1,0,18,9,7,11,28,3
SORBS3,0,0,0,34,0,3,0,0
SORCS1,47,394,1854,521,885,1153,1351,456
SORCS2,0,0,0,2,0,0,0,0
SORCS3,0,0,0,9,0,1,0,0
SORD,0,0,6,0,1,9,2,3
SORL1,0,0,0,3,0,1,0,0
SORT1,0,0,0,0,1,1,0,2
SOS1,28,199,143,195,133,45,196,21
SOS2,0,0,0,1,0,0,3,0
SOST,289,2819,5225,1629,2652,6616,3083,3719
SOSTDC1,0,0,0,0,0,2,3,0
SOWAHA,818,1566,7282,4256,4511,5771,5455,2608
SOWAHB,0,0,1,0,2,1,1,0
SOWAHC,25,36,301,148,152,134,242,64
SOWAHD,11,27,933,380,467,363,770,152
SOX1,26,58,375,247,98,215,238,77
SOX10,12,37,527,253,219,140,326,37
SOX11,131,539,2920,1547,1877,1124,1845,494
SOX12,0,0,6,1,3,2,5,2
SOX13,1,9,128,24,26,61,89,24
SOX14,0,0,1,0,1,1,0,0
SOX15,0,0,0,0,0,2,3,0
SOX17,0,0,1,0,2,2,4,1
SOX18,0,0,1,0,0,0,0,0
SOX2,0,0,0,13,0,0,0,0
SOX21,193,821,3160,1208,1919,2748,2925,1253
