"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACSM5",400.654521899648,-0.0374261322217735,0.422168091904173,-0.0886522049853753,0.929358317799619,0.981156419252905
"ACSS1",0.0446013475484918,1.51351603510744,3.5106809539545,0.431117511092139,0.666382928676451,NA
"ACSS2",406.034423083824,-0.561576725596871,0.420733301365191,-1.33475701536977,0.181955886170976,0.575842903988309
"ACTA1",10.0019581305186,1.07194257304024,0.917895821875487,1.16782596400755,0.242876972759718,NA
"ACTA2",20488.4626017622,0.353642991736603,0.403529958301025,0.87637357391144,0.3808269795901,0.754809013988477
"ACTB",2.04935282083433,-1.70169717036045,1.61578072156291,-1.05317333450694,0.292261557309148,NA
"ACTBL2",96.9389218146196,-1.62137820923991,0.742737475175395,-2.18297617049285,0.0290375649191466,0.265408818256301
"ACTC1",3614.66120015382,-0.116403719980913,0.251817692605212,-0.462253937666743,0.643899227582929,0.892265371187487
"ACTG1",26.4724110734719,1.13988940244886,0.526345393064318,2.16566805270691,0.0303365619871668,NA
"ACTG1P4",0.461177059520176,-1.72944774682524,3.43457617342685,-0.503540366990808,0.614584406856778,NA
"ACTG2",3506.7582788417,0.0522262012222273,0.358689495399731,0.145602817735226,0.884234943462587,0.967033344635023
"ACTL10",3231.27463190178,0.297654397327327,0.397115449382179,0.749541217271726,0.453531065592827,0.799743845860879
"ACTL6A",0,NA,NA,NA,NA,NA
"ACTL6B",230.764909790327,0.0398241867363632,0.295764681515169,0.134648216049153,0.892890017807827,0.971749916278248
"ACTL7B",1288.64463518872,0.547555830326192,0.365637646759266,1.49753679682415,0.134253638396478,0.501023991777602
"ACTL8",0,NA,NA,NA,NA,NA
"ACTN1",2.40290329869507,0.091562853292991,1.41435404608319,0.064738283562421,0.948382380865575,NA
"ACTN1-AS1",553.55806235405,-0.492192984391174,0.777992315711641,-0.632645046038736,0.526965463763575,0.838156671983042
"ACTN2",1582.69810609929,-0.269118451015361,0.477064171130761,-0.564113734170151,0.572676731702974,0.86408646853985
"ACTN3",515.315886560202,-0.370407391757702,0.366020471935257,-1.01198544933634,0.311545010649043,0.700510408275514
"ACTN4",1.33005824656377,3.68572502295562,2.45741615448337,1.49983754938344,0.133656488091484,NA
"ACTR10",3.71865078337719,-0.385235215601309,1.13144976083612,-0.340479293854485,0.733495613454552,NA
"ACTR1A",2.82020428413844,-2.22812897965022,1.53175984453445,-1.45462030983546,0.14577440519189,NA
"ACTR1B",625.702364247142,-0.0043987151509434,0.327851498075362,-0.0134167913728193,0.989295270469324,0.995687637345145
"ACTR2",2567.99530087294,-0.428363350596766,0.47698184810194,-0.898070549857103,0.369147938537394,0.748062442797377
"ACTR3",1488.55042256143,0.153240919195823,0.392429429543833,0.390492933656768,0.696172079538601,0.90886224619463
"ACTR3B",541.909346387669,0.857694091667022,0.447734422287603,1.91563134075066,0.0554120373988453,0.343212012854441
"ACTR3BP2",1857.88517491988,-0.526703039156523,0.341130416704913,-1.54399318666484,0.122589983202641,0.480490009407493
"ACTR3BP5",0.631117995659473,3.56803531158863,3.45390492082932,1.03304387161066,0.301583368212884,NA
"ACTR3C",14.4246559179396,-0.198461377200475,0.722908394503683,-0.274531847616364,0.783675932545132,NA
"ACTR5",1643.52183401508,0.902110206016295,0.378276620911195,2.38478974419113,0.0170888850570783,0.214134653634291
"ACTR6",0.886081106485562,3.13561570314596,3.25055446116649,0.964640260794375,0.334725026505714,NA
"ACTR8",0,NA,NA,NA,NA,NA
"ACTRT1",1.72073943717264,3.33724298522005,2.18082131442333,1.53026887766938,0.125950188515685,NA
"ACTRT2",4.66670692736975,1.83346451681915,1.27273406059705,1.44057158017683,0.149705754185677,NA
"ACTRT3",0,NA,NA,NA,NA,NA
"ACVR1",0,NA,NA,NA,NA,NA
"ACVR1B",18.3338779162459,-0.180790269637096,0.907069692592287,-0.199312435542214,0.842018352169511,NA
"ACVR1C",28.6939194116478,-0.194766861853688,0.732911225567159,-0.265744137979288,0.790436267984713,NA
"ACVR2A",30.0391621112432,-0.421311278921053,0.858182616233324,-0.490934296444088,0.623472918963269,NA
